code,title,pointsR1,pointsR2
40,WD212,Recreation and Sport Management,274,311.0
41,WD230,Mechanical and Manufacturing Engineering,273,348.0
,Unnamed: 0,2019 Level 8 EOS,Unnamed: 2,Unnamed: 3
0,CW258,Cybercrime and IT Security,300,328.0
1,CW268,Computing in Interactive Digital Art and Design,274,321.0
2,CW438,Construction (options),271,308.0
3,CW468,Architectural Technology,252,290.0
4,CW478,Civil Engineering,348,383.0
5,CW548,Mechanical Engineering,310,351.0
6,CW558,Electronic Systems,279,338.0
7,CW568,Aerospace Engineering,366,422.0
8,CW578,TV and Media Production,327,361.0
9,CW708,Law - LLB,298,328.0
10,CW728,Product Design Innovation,286,355.0
11,CW748,Early Childhood Education and Care,265,338.0
12,CW758,Applied Social Studies - Professional Social Care,290,319.0
13,CW808,Media and Public Relations,248,307.0
14,CW848,Digital Marketing with Analytics,279,307.0
15,CW858,"Sports Management and Coaching (options, portfolio)",#700,700.0
16,CW908,Business (options),260,307.0
17,CW938,Business with Law,270,288.0
18,CW948,Accounting,301,408.0
19,,"Carlow College, St. Patrick`s",,
20,PC405,"Social, Political and Community Studies",251,296.0
21,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289.0
22,PC411,English and History (fulfils Teaching Council requirements),168,289.0
23,,Cork Institute of Technology,,
24,CR105,Chemical and Biopharmaceutical Engineering,432,498.0
25,CR106,Software Development,351,393.0
26,CR108,Mechanical Engineering,425,487.0
27,CR109,Structural Engineering,341,467.0
28,CR110,Automotive Business Management and Technology,318,347.0
29,CR112,Creative Digital Media,335,389.0
30,CR116,Computer Systems,318,381.0
31,CR121,Music at CIT Cork School of Music,#633,1052.0
32,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,1021.0
33,CR126,Popular Music: Drums at CIT Cork School of Music,#878,1043.0
34,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,761.0
35,CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,1009.0
36,CR129,Popular Music: Voice at CIT Cork School of Music,#857,927.0
37,CR130,Musical Theatre,#500,600.0
38,CR150,Business Information Systems,326,371.0
39,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,979.0
40,CR220,Fine Art at CIT Crawford College of Art and Design,#620,819.0
41,CR225,Photography with New Media,#920,920.0
42,CR305,Physical Sciences (Common Entry),279,309.0
43,CR310,IT Management,282,317.0
44,CR320,Biomedical Science (Offered jointly by CIT and UCC),546,556.0
45,CR325,Pharmaceutical Biotechnology,388,422.0
46,CR333,Nutrition and Health Science,360,393.0
47,CR335,Biological Sciences (Common Entry),381,419.0
48,CR340,Analytical Chemistry with Quality Assurance,288,315.0
49,CR360,Instrument Engineering,291,329.0
50,CR365,Environmental Science and Sustainable Technology,334,362.0
51,CR370,Agri-Biosciences,408,431.0
52,CR400,Accounting,316,389.0
53,CR420,Marketing,288,329.0
54,CR425,International Business with Language,300,392.0
,Unnamed: 0,2019 Level 8 EOS,Unnamed: 2,Unnamed: 3
0,CR500,Engineering (Common Entry),381,424.0
1,CR510,Sustainable Energy Engineering,319,343.0
2,CR520,Biomedical Engineering,434,477.0
3,CR560,Architectural Technology,288,332.0
4,CR565,Interior Architecture,336,390.0
5,CR570,Quantity Surveying,279,342.0
6,CR572,Construction Management,253,300.0
7,CR580,Electrical Engineering,344,374.0
8,CR590,Electronic Engineering,342,411.0
9,CR600,Visual Communications,#587,888.0
10,CR660,Tourism Management,249,290.0
11,CR700,Theatre and Drama Studies at CIT Cork School of Music,#768,906.0
12,,University College Cork (NUI),,
13,CK101,Arts - 3 years,300,368.0
14,CK102,Social Science,391,431.0
15,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),#340,409.0
16,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397,442.0
17,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,388.0
18,CK108,Arts International - 4 years,429,466.0
19,CK109,English - 3 years or 4 years (International Pathway),347,423.0
20,CK110,World Languages,456,506.0
21,CK111,Early Years and Childhood Studies,398,429.0
22,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),#324,470.0
23,CK113,Criminology - 3 years or 4 years (International Pathway),408,430.0
24,CK114,Social Science (Youth and Community Work) - 3 years,#,
25,CK115,Social Work - Mature Applicants only,#,
26,CK116,Sports Studies and Physical Education,499,520.0
27,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,361.0
28,CK120,Applied Psychology,506,532.0
29,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466.0
30,CK122,Government and Political Science,355,410.0
31,CK201,Commerce,465*,489.0
32,CK202,Accounting,467,506.0
33,CK203,Business Information Systems,409,444.0
34,CK204,Finance,531,555.0
35,CK205,Commerce (International) with French,409,473.0
36,CK206,Commerce (International) with German,408,446.0
37,CK207,Commerce (International) with Italian,408,425.0
38,CK208,Commerce (International) with Hispanic Studies,431,455.0
39,CK209,Commerce (International) with Irish,509,528.0
40,CK211,Commerce (International) with Chinese Studies,398,420.0
41,CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429.0
42,CK301,Law (Pathways) -  3 or 4 years,476,519.0
43,CK302,Law and French,453,531.0
44,CK304,Law and Irish,462,510.0
45,CK307,Law and Business,522,554.0
46,CK401,Computer Science,402,456.0
47,CK402,Biological and Chemical Sciences,498,520.0
48,CK404,"Biological, Earth and Environmental Sciences",412,451.0
49,CK405,Genetics,476,496.0
50,CK406,Chemical Sciences,457,488.0
51,CK407,Mathematical Sciences,531,578.0
52,CK408,Physics and Astrophysics,511,566.0
53,CK409,Industrial Physics (offered jointly by UCC and CIT),413,532.0
54,CK411,Data Science and Analytics,509,542.0
,Unnamed: 0,2019 Level 8 EOS,Unnamed: 2,Unnamed: 3
0,CK412,Agricultural Science,457,509.0
1,CK502,Food Marketing and Entrepreneurship,433,456.0
2,CK504,Nutritional Sciences,492,509.0
3,CK505,Food Science,444,477.0
4,CK506,International Development and Food Policy,367,410.0
5,CK600,Engineering,465,532.0
6,CK606,Architecture (offered jointly by UCC and CIT),465,496.0
7,CK701,Medicine (Undergraduate Entry - HPAT required),#729,740.0
8,CK702,Dentistry,590,613.0
9,CK703,Pharmacy,577,589.0
10,CK704,Occupational Therapy,532*,554.0
11,CK705,Speech and Language Therapy,509,529.0
12,CK706,Public Health Sciences,419,451.0
13,CK707,Medical and Health Sciences,510*,543.0
14,CK710,General Nursing,440,466.0
15,CK712,Children`s and General Nursing (Integrated),499,520.0
16,CK720,Mental Health Nursing,398,429.0
17,CK730,Intellectual Disability Nursing,359,388.0
18,CK740,Midwifery,444,474.0
19,CK791,Medicine  - Graduate Entry (GAMSAT required),#58*,59.0
20,,American College,,
21,AC120,International Business,234,269.0
22,AC137,Liberal Arts,252,275.0
23,,CCT College Dublin,,
24,CT125,Information Technology,235,280.0
25,,Marino Institute of Education,,
26,CM001,Education - Primary Teaching,452*,462.0
27,CM002,Education - Primary Teaching - Gaeltacht Applicants,#421,440.0
28,CM003,Oideachas - BunmhÃºinteoireacht TrÃ­ MheÃ¡n na Gaeilge,#491,506.0
29,CM004,Oideachas - BunmhÃºinteoireacht TrÃ­ MheÃ¡n na Gaeilge (daltaÃ­ Gaeltachta),#492,569.0
30,CM010,Education Studies,317,373.0
31,CM020,Early Childhood Education,336,363.0
32,,Dublin Business School,,
33,DB500,Computing,242,320.0
34,DB501,Computing (Cloud Computing),326,329.0
35,DB502,Computing (Data Analytics and Big Data),269,269.0
36,DB503,Computing (Software Development),242,282.0
37,DB504,Computing (Web and Mobile Technology),227,269.0
38,DB510,Audio Production and Music Project Management,233,293.0
39,DB512,Business Studies,229,301.0
40,DB514,Business Studies (Law),269,337.0
41,DB515,Business Studies (Human Resource Management),225,288.0
42,DB516,Financial Services,328,336.0
43,DB517,Event Management,226,327.0
44,DB518,Marketing (Digital Media),210,289.0
45,DB521,Accounting and Finance,225,271.0
46,DB524,Business Information Systems,402,402.0
47,DB525,Marketing (Digital Media and Cloud Computing),284,309.0
48,DB526,Business Information Systems (Cloud Computing),253,288.0
49,DB527,Applied Social Care,235,288.0
50,DB531,Marketing,220,288.0
51,DB562,Psychology,208,310.0
52,DB566,Social Science,216,308.0
53,DB567,Film,192,295.0
54,DB568,Law,245,308.0
,Unnamed: 0,2019 Level 8 EOS,Unnamed: 2,Unnamed: 3
0,DB569,Business (Psychology),279,338.0
1,,Dublin City University,,
2,DC001,Education - Early Childhood Education,398,424.0
3,DC002,Education - Primary Teaching,462*,485.0
4,DC003,Education - Primary Teaching - Gaeltacht Applicants,#433,473.0
5,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),#357,
6,DC005,Education - Primary Teaching - Irish Sign Language,#316,316.0
7,DC009,Arts (Joint Honours) - Humanities,347,408.0
8,DC010,Post Primary Teacher Education - Religious Education and English,386,413.0
9,DC011,Post Primary Teacher Education - Religious Education and History,352,389.0
10,DC012,Post Primary Teacher Education - Religious Education and Music,#367,415.0
11,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509.0
12,DC014,BA in Jazz and Contemporary Music Performance,#428,590.0
13,DC110,Business Studies International,440,462.0
14,DC111,Business Studies,463,479.0
15,DC112,Global Business (France),495,510.0
16,DC113,Global Business (Germany),440,476.0
17,DC114,Global Business (Spain),501,543.0
18,DC115,Accounting and Finance,487,500.0
19,DC116,Global Business (USA),578,589.0
20,DC117,Aviation Management / Aviation Management with Pilot Studies,463,487.0
21,DC118,GnÃ³ agus Gaeilge / Business and Irish,357,399.0
22,DC119,Global Business (Canada),566,577.0
23,DC120,Enterprise Computing,350,389.0
24,DC121,Computer Applications,370,418.0
25,DC123,Data Science,467,511.0
26,DC126,Actuarial Mathematics,520,543.0
27,DC127,Common Entry into Actuarial and Financial Mathematics,509,531.0
28,DC131,Communication Studies,400,441.0
29,DC132,Journalism,401,440.0
30,DC133,Multimedia,403,451.0
31,DC155,Applied Language and Translation Studies,371,430.0
32,DC161,Analytical Science,446,463.0
33,DC162,Chemical and Pharmaceutical Sciences,488,498.0
34,DC166,Environmental Science and Technology,412,442.0
35,DC167,Physics with Astronomy,434,477.0
36,DC168,Genetics and Cell Biology,489,500.0
37,DC171,Applied Physics,402,433.0
38,DC173,Physics with Biomedical Sciences,402,458.0
39,DC181,Biotechnology,476,488.0
40,DC190,Electronic and Computer Engineering (with choice of four majors),391,433.0
41,DC193,Mechatronic Engineering,404,445.0
42,DC195,Mechanical and Manufacturing Engineering,401,444.0
43,DC197,Biomedical Engineering,402,446.0
44,DC200,Common Entry into Engineering (Undenominated Entry),381,444.0
45,DC201,Common Entry into Science (Undenominated Entry),454,477.0
46,DC202,Sport Science and Health,467,476.0
47,DC203,Science Education,424,476.0
48,DC204,Athletic Therapy and Training,484,500.0
49,DC205,Physical Education with Biology,490,521.0
50,DC206,Physical Education with Mathematics,443,476.0
51,DC208,Psychology,509,521.0
52,DC209,Health and Society,419,440.0
53,DC215,General Nursing,414,443.0
54,DC216,Mental Health Nursing,368,389.0
,Unnamed: 0,2019 Level 8 EOS,Unnamed: 2,Unnamed: 3
0,DC217,Intellectual Disability Nursing,347,362.0
1,DC218,Children`s and General Nursing (Integrated),467,480.0
2,DC230,"Economics, Politics and Law",400,431.0
3,DC231,International Relations,387,445.0
4,DC232,Law and Society (BCL),453,487.0
5,DC235,Education and Training - Daytime Delivery Mode (full-time),307,327.0
6,DC238,Social Sciences and Cultural Innovation,358,388.0
7,DC240,"Marketing, Innovation and Technology",451,474.0
8,DC291,Arts (Joint Honours) - Media Studies,349,392.0
9,DC292,Arts (Joint Honours) - Law,356,388.0
10,DC293,Arts (Joint Honours) - International Languages,369,400.0
11,DC295,Arts (Joint Honours) - Politics,348,387.0
12,,Technological University Dublin City Campus,,
13,DT001,Product Design,433,464.0
14,DT028,Transport Operations and Technology,279,348.0
15,DT035,Electrical Services and Energy Management,293,340.0
16,DT066,Engineering (General Entry),400,457.0
17,DT101,Architecture (test and interview),#618,647.0
18,DT106,Planning and Environmental Management,312,337.0
19,DT110,Property Economics (Valuation Surveying),367,424.0
20,DT111,Quantity Surveying and Construction Economics,391,421.0
21,DT112,Geographic Science,287,335.0
22,DT117,Construction Management,356,373.0
23,DT175,Architectural Technology,388,425.0
24,DT201,Science (General Entry),464,477.0
25,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403.0
26,DT204,Biomedical Science,501,512.0
27,DT205,Mathematical Sciences,315,363.0
28,DT206,Biomedical and Molecular Diagnostics,473,487.0
29,DT211,Computer Science (Infrastructure),381,414.0
30,DT220,Industrial Mathematics,300,317.0
31,DT221,Physics with Energy and Environment,348,436.0
32,DT222,Physics Technology,321,371.0
33,DT223,Human Nutrition and Dietetics,553,566.0
34,DT224,Optometry,487,529.0
35,DT225,Public Health Nutrition,440,476.0
36,DT227,Science with Nanotechnology,312,361.0
37,DT228,Computer Science,451,466.0
38,DT229,Clinical Measurement Science,491,509.0
39,DT235,Physics with Medical Physics and Bioengineering,357,403.0
40,DT282,Computer Science (International),377,402.0
41,DT299,Chemical Sciences with Medicinal Chemistry,420,445.0
42,DT302,Business Analytics,325,403.0
43,DT304,E-Commerce in Retailing,341,388.0
44,DT321,Business and Law,462,478.0
45,DT341,Marketing,400,419.0
46,DT343,Retail and Services Management,301,332.0
47,DT354,Business Computing,322,341.0
48,DT358,Logistics and Supply Chain Management,300,359.0
49,DT365,Business and Management,440,456.0
50,DT366,Accounting and Finance,432,454.0
51,DT398,Human Resource Management,375,388.0
52,DT399,Economics and Finance,437,465.0
53,DT401,International Hospitality Management,300,337.0
54,DT405,Culinary Science,308,377.0
,Unnamed: 0,2019 Level 8 EOS,Unnamed: 2,Unnamed: 3
0,DT407,Culinary Arts,271,342.0
1,DT412,Tourism Marketing,284,322.0
2,DT413,Event Management,356,389.0
3,DT416,Culinary Entrepreneurship,275,339.0
4,DT420,Nutraceuticals in Health and Nutrition,392,432.0
5,DT421,Food Innovation,321,366.0
6,DT422,Pharmaceutical Healthcare,397,423.0
7,DT491,Environmental Health,343,380.0
8,DT501,Music,#383,520.0
9,DT504,Film and Broadcasting,443,467.0
10,DT506,Commercial Modern Music,#468,835.0
11,DT508,Game Design,403,454.0
12,DT517,Languages and English Studies,326,419.0
13,DT518,Languages and International Tourism,307,357.0
14,DT529,Drama (Performance),#371,519.0
15,DT532,Law (LL.B.),422,441.0
16,DT533,Contemporary Visual Culture,#,
17,DT544,Interior Design,#552,866.0
18,DT545,Design - Visual Communication,#667,897.0
19,DT546,Fine Art,#668,813.0
20,DT555,International Business and Languages,353,399.0
21,DT559,Photography,#700,926.0
22,DT571,Social Care,394,424.0
23,DT572,Early Childhood Education,385,403.0
24,DT582,Journalism,347,373.0
25,DT596,Print Media Technology and Management,252,311.0
26,DT597,Creative and Cultural Industries,280,369.0
27,,"Dun Laoghaire Institute of Art, Design and Technology",,
28,DL821,"English, Media and Cultural Studies",211,317.0
29,DL822,Arts Management,209,319.0
30,DL823,Business Studies - Entrepreneurship and Management,260,316.0
31,DL825,Applied Psychology,349,413.0
32,DL826,Visual Communication Design,#736,989.0
33,DL827,Art,#583,902.0
34,DL828,"3D Design, Modelmaking and Digital Art",#691,866.0
35,DL829,Design for Stage and Screen (Costume Design),#817,1021.0
36,DL830,Design for Stage and Screen (Makeup Design),#879,953.0
37,DL831,Design for Stage and Screen (Production Design),#893,1073.0
38,DL832,Animation,#855,1055.0
39,DL833,Photography,#636,791.0
40,DL834,Film and Television Production,#933,1011.0
41,DL835,Creative Media Technologies,237,289.0
42,DL836,Creative Computing,217,326.0
43,DL837,New Media Studies,290,349.0
44,DL838,Creative Music Production,#746,873.0
45,,Griffith College,,
46,GC200,Business Studies (Cork),269,359.0
47,GC201,Accounting and Finance (Cork),251,388.0
48,GC230,Computing Science (Cork),228,327.0
49,GC300,Business Studies (Limerick),251,302.0
50,GC301,Accounting and Finance,307,314.0
51,GC302,"Business Studies - (HRM, Limerick)",269,269.0
52,GC305,International Hospitality Management (Limerick),327,327.0
53,GC400,Business Studies (Dublin),246,297.0
54,GC401,Accounting and Finance (Dublin),181,309.0
,Unnamed: 0,2019 Level 8 EOS,Unnamed: 2,Unnamed: 3
0,GC402,"Business Studies (HRM, Dublin)",217,290.0
1,GC403,Law (Dublin),225,308.0
2,GC405,International Hospitality Management (Dublin),254,272.0
3,GC407,"Business Studies (Marketing, Dublin)",246,330.0
4,GC430,Computing Science (Dublin),217,269.0
5,GC450,Journalism and Visual Media (Dublin),227,307.0
6,GC462,Design Communication (Dublin),,
7,GC489,Interior Architecture (Dublin),#267,361.0
8,GC494,Fashion Design (Dublin),#,
9,,ICD Business School,,
10,ID001,Accounting and Finance,229,291.0
11,ID002,Business Studies,285,366.0
12,ID003,Business Studies with Chinese,,
13,,Technological University Dublin Blanchardstown Campus,,
14,BN101,Business,252,289.0
15,BN103,Business and Information Technology,254,290.0
16,BN104,Computing (Information Technology),260,293.0
17,BN107,Applied Social Studies in Social Care,300,328.0
18,BN108,Engineering (Common Entry with Award options),271,318.0
19,BN109,Business (Common Entry with Award options),260,279.0
20,BN110,International Business,253,308.0
21,BN111,Sports Management and Coaching,270,298.0
22,BN112,Creative Digital Media,280,329.0
23,BN113,Horticulture,289,321.0
24,BN114,Accounting and Finance,280,332.0
25,BN115,Community and Youth Development,250,298.0
26,BN117,Computer Engineering in Mobile Systems,273,311.0
27,BN118,Early Childhood Care and Education,290,320.0
28,BN119,Digital Marketing,270,308.0
29,BN120,Digital Forensics and Cyber Security,281,326.0
30,BN121,Mechatronic Engineering,276,340.0
31,BN123,"Design,Technology and Innovation",297,318.0
32,,Technological University Dublin Tallaght Campus,,
33,TA022,Creative Digital Media,260,318.0
34,TA023,Advertising and Marketing Communications,235,299.0
35,TA024,Early Childhood Care and Education,217,307.0
36,TA025,Social Care Practice,261,297.0
37,TA026,International Hospitality and Tourism Management,208,269.0
38,TA027,Botanical Cuisine,236,273.0
39,TA028,Digital Marketing Technologies,220,313.0
40,TA121,Accounting and Finance,202,328.0
41,TA122,Management,218,297.0
42,TA123,Marketing Management,207,284.0
43,TA125,International Business,229,300.0
44,TA221,Electronic Engineering,251,321.0
45,TA222,Mechanical Engineering,243,302.0
46,TA223,Sustainable Energy Engineering,236,305.0
47,TA224,Biomedical Design,218,324.0
48,TA225,Automation Engineering,235,288.0
49,TA226,Engineering Software,243,304.0
50,TA321,Pharmaceutical Science,261,298.0
51,TA322,Computing,200,294.0
52,TA323,Computing with IT Management,243,309.0
53,TA326,DNA and Forensic Analysis,300,362.0
54,TA327,Sports Science and Health,341,381.0
,Unnamed: 0,2019 Level 8 EOS,Unnamed: 2,Unnamed: 3
0,TA328,Computing with Language (French/German/Spanish),218,317
1,TA329,Computing with Data Analytics,218,296
2,,National College of Art and Design,,
3,AD101,First Year Art & Design (Common Entry),# +matri,c 550
4,AD102,Graphic Design and Moving Image Design,# +matri,c 635
5,AD103,Textile & Surface Design and Jewellery & Objects,# +matri,c 545
6,AD202,Education & Design or Fine Art (Second Level Teaching),# +matri,c 580
7,AD204,Fine Art,# +matri,c 600
8,AD211,Fashion Design,# +matri,c 600
9,AD212,Product Design,# +matri,c 600
10,AD215,Visual Culture,300,338
11,AD217,Illustration,# +matri,c 625
12,AD222,Interaction Design,# +matri,c 657
13,,National College of Ireland (NCI),,
14,NC003,Computing (Degree Award options),261,316
15,NC005,Human Resource Management,297,320
16,NC009,Business,297,339
17,NC010,Psychology,366,399
18,NC020,Marketing Practice,270,307
19,NC022,Accounting and Finance,338,376
20,NC023,Technology Management (with specialisations),260,303
21,NC025,Data Science,297,371
22,,Royal College of Surgeons in Ireland,,
23,RC001,Medicine - Undergraduate Entry (HPAT required),#729,733
24,RC004,Physiotherapy,532*,542
25,RC005,Pharmacy,555,566
26,RC101,Medicine - Graduate Entry (GAMSAT required),#60,62
27,,Trinity College Dublin,,
28,TR002,Music,#414,473
29,TR003,History,486,518
30,TR004,Law,532,552
31,TR005,Philosophy,391,446
32,TR006,Psychology,555*,577
33,TR007,Clinical Speech and Language Studies,499,529
34,TR009,Music Education,#430,465
35,TR012,History and Political Science,532*,557
36,TR015,"Philosophy, Political Science, Economics and Sociology",566,577
37,TR016,Deaf Studies,337,372
38,TR017,Law and Business,576,589
39,TR018,Law and French,532*,554
40,TR019,Law and German,523,555
41,TR020,Law and Political Science,567,600
42,TR021,"Classics, Ancient History and Archaeology",377,495
43,TR022,Early and Modern Irish,347,407
44,TR023,English Studies,463,511
45,TR024,European Studies,520,544
46,TR025,Drama and Theatre Studies,#489,531
47,TR028,Ancient and Medieval History and Culture,339,451
48,TR029,Political Science and Geography,477,500
49,TR031,Mathematics,566,589
50,TR032,Engineering,487*,520
51,TR033,Computer Science,465*,488
52,TR034,Management Science and Information Systems Studies,589*,602
53,TR035,Theoretical Physics,554,601
54,TR038,Engineering with Management,499,543
