,code,title,points_r1_2021,points_r1_2020,points_r1_2019
1023,GY515,General Nursing (Galway and Portiuncula),502,311,
1024,GY516,Mental Health Nursing,475,328,
1025,GY517,Midwifery,520,306,
1026,GB001,Business,,341,
1027,LY107,Business - Common Entry,189,300,
1028,LY108,Business - Accounting,312,285,
1029,LY118,Business,288,228,
1030,LY128,Marketing with Online Technologies,261,223,
1031,LY206,Sports Studies,147,234,
1032,LY207,Law with Criminal Justice,161,189,
1033,LY208,Law,300,223,
1034,LY228,Sports and Exercise - Common Entry,290,260,
1035,LY317,Culinary Arts,205,228,
1036,LY327,Hospitality And Tourism - Common Entry,180,243,
1037,LY408,Design - Common Entry,301,232,
1038,LY427,Digital Film and Video,217,224,
1039,LY437,Animation,183,251,
1040,LY447,Fashion with Promotion,189,269,
1041,LY457,Graphic and Digital Design,188,219,
1042,LY507,Quantity Surveying,204,,
1043,LY508,Fire Safety Engineering,283,243,
1044,LY518,Quantity Surveying,304,261,
1045,LY527,Civil Engineering,164,200,
1046,LY528,Construction Management,262,249,
1047,LY538,Architectural Technology,234,261,
1048,LY606,Electric Vehicle Engineering,216,251,
1049,LY607,Electronic Engineering,198,208,
1050,LY608,Mechanical Engineering,300,218,
1051,LY617,Mechanical Engineering,163,106,
1052,LY618,Electronic Engineering,321,234,
1053,LY707,Computer Games Development,206,225,
1054,LY708,Applied Computing,320,281,
1055,LY717,Computing,180,325,
1056,LY737,Computer Security and Digital Forensics,161,310,
1057,LY748,Computer Science,316,358,
1058,LY806,Pharmacy Technician,172,308,
1059,LY816,Dental Nursing,180,299,
1060,LY817,Bioscience,250,306,
1061,LY818,Science - Common Entry,302,300,
1062,LY826,Health Science with Physiotherapy Studies,487,325,
1063,LY828,Agriculture - Common Entry,308,302,
1064,LY836,Health Science with Occupational Therapy Studies,451,308,
1065,LY837,Food Science and Nutrition,215,309,
1066,LY846,Health Science with Dietetics Studies,336,317,
1067,LY847,Veterinary Nursing,389,308,
1068,LY867,Pharmaceutical and Medicinal Science,179,300,
1069,LY877,Agriculture,200,309,
1070,LY906,"Early Childhood Care, Health and Education",154,289,
1071,LY908,General Nursing,429,307,
1072,LY916,Health and Social Care,195,308,
1073,LY918,Psychiatric Nursing,367,,
1074,LY928,Intellectual Disability Nursing,357,440,
1075,LY968,"Early Childhood Care, Health and Education",288,389,
1076,LY978,Health and Social Care - Common Entry,279,435,
1077,MI001,Contemporary and Applied Theatre Studies,209,497,
1078,MI002,Arts,280,566,
1079,MI004,Education - Primary Teaching - International,589,442,
1080,MI005,Education - Primary Teaching,522,567,
1081,MI006,Education - Primary Teaching - Gaeltacht Applicants,485,529,
1082,MI007,Early Childhood Care and Education,409,420,
1083,MI008,Education and Psychology - Primary Teaching,590,555,
1084,MI009,"Education, Business Studies and Accounting",434,589,
1085,MI010,"Education, Business Studies and Religious Studies",370,340,
1086,MI011,"Education, Gaeilge and Religious Studies",407,602,
1087,MI012,"Education, Gaeilge and Business Studies",387,565,
1088,MI013,"Education, Mathematics and Gaeilge",509,543,
1089,MI014,"Education, Mathematics and Business Studies",476,602,
1090,CI110,Counselling and Psychotherapy,292,370,
1091,CI111,Counselling and Psychotherapy with Addiction Studies,290,398,
1092,CI112,Counselling and Psychotherapy with Youth Studies,325,487,
1093,LC110,"Art and Design (Common Entry, portfolio)",794,544,
1094,LC114,Fashion and Textiles for Product and Costume (portfolio),914,564,
1095,LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",993,342,
1096,LC220,Digital Marketing,263,526,
1097,LC221,Accounting and Finance,243,531,
1098,LC222,Marketing and Management,259,510,
1099,LC223,Law and Taxation,331,509,
1100,LC224,Accounting and Finance,300,613,
1101,LC225,Marketing and Management,298,543,
1102,LC226,Enterprise and Innovation,255,532,
1103,LC228,Sports Development and Coaching,214,454,
1104,LC230,Business with Computing,241,466,
1105,LC233,Software Development,280,368,
1106,LC234,Immersive Digital Media and Spatial Computing,226,489,
1107,LC235,Internet Systems Development,207,393,
1108,LC236,Internet Systems Development,260,735,
1109,LC239,Computer Networks and Systems Management,317,613,
1110,LC241,Construction Management,326,566,
1111,LC242,Property Valuation and Management,308,533,
1112,LC243,Quantity Surveying,278,543,
1113,LC248,Built Environment (Common Entry),300,565,
1114,LC251,Civil Engineering,205,543,
1115,LC252,Civil Engineering Management,264,517,
1116,LC260,Applied Biology,338,473,
1117,LC263,Medical Technology,391,498,
1118,LC265,Forensic and Pharmaceutical Sciences,498,590,
1119,LC266,Drug and Medicinal Product Analysis,252,589,
1120,LC267,Forensic and Pharmaceutical Sciences,400,543,
1121,LC268,Medical Technology,384,555,
1122,LC270,Music Technology and Production,354,498,
1123,LC271,Electrical Engineering,329,462,
1124,LC275,Electrical Engineering,361,540,
1125,LC276,Creative Broadcast and Film Production,310,509,
1126,LC277,Industrial Automation and Robotic Systems,261,474,
1127,LC278,Renewable and Electrical Energy Engineering,306,444,
1128,LC279,Electronic Engineering with Computer Systems,242,531,
1129,LC281,Automobile Technology,277,429,
1130,LC283,Precision Engineering,207,430,
1131,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",192,408,
1132,LC285,Mechanical Engineering,299,396,
1133,LC286,Road Transport Technology and Management,294,352,
1134,LC288,Mechanical Engineering,378,529,
1135,LC289,Precision Engineering,261,337,
1136,LC290,Sports Development Performance,208,337,
1137,LC292,Social Care Work,374,342,
1138,LC293,Business Studies with Travel and Tourism Management,271,498,
1139,LC294,Business Studies with Event Management,279,335,
1140,LC295,Business Studies with Sports Management,262,335,
1141,LC297,Community and Addiction Studies,272,499,
1142,LC320,Business,381,534,
1143,LC322,Enterprise and Innovation,228,534,
1144,LC330,Business with Computing,328,566,
1145,LC336,Computing,219,534,
1146,LC340,Interior Design,391,534,
1147,LC362,Biotechnology and Biopharmaceutical Sciences,429,534,
1148,LC371,Creative Broadcast and Film Production,325,498,
1149,LC372,Music Technology and Production,377,349,
1150,LC374,Renewable and Electrical Energy Engineering,337,349,
1151,LC375,Industrial Automation and Robotic Systems,309,349,
1152,LC376,Electronic Engineering with Computer Systems,357,529,
1153,LC380,Automotive Engineering and Transport Management,298,498,
1154,LC392,Business Studies in Beauty and Spa Management,328,499,
1155,LC393,Early Childhood Education and Care,309,498,
1156,LC396,Beauty and Spa Services,319,#498,
1157,LC397,Business Studies with Sports,233,498,
1158,LC398,Culinary Arts,215,#521,
1159,LC399,Hospitality Supervision,137,521,
1160,LC402,Social Care Work,228,521,
1161,LC408,Environmental Science and Climate,279,529,
1162,LC415,Business,172,#473,
1163,LC416,Business,260,521,
1164,LC418,Computing - Games Design and Development,260,529,
1165,LC422,Applied Strength and Conditioning,289,352,
1166,LC423,Applied Strength and Conditioning,145,498,
1167,LC425,Environmental Science,229,529,
1168,LC502,Game Art and Design (portfolio),841,529,
1169,LC504,Creative Media and Design,155,529,
1170,LC517,Creative Media and Design,279,529,
1171,LC518,Digital Animation Production (portfolio),807,529,
1172,LC602,Social Care Work,251,334,
1173,LC612,Social Care Work,309,499,
1174,LM002,Arts,360,337,
1175,LM019,Social Sciences,451,335,
1176,LM020,Law and Accounting,474,529,
1177,LM026,Performing Arts (audition format TBC),329,335,
1178,LM028,Criminal Justice,420,,
1179,LM029,Law Plus,530,342,
1180,LM038,Psychology and Sociology,530,566,
1181,LM039,Journalism and Digital Communication,432,566,
1182,LM040,European Studies,409,566,
1183,LM044,Applied Languages,429,499,
1184,LM050,Business Studies (options),451,#473,
1185,LM056,International Business,555,388,
1186,LM058,Financial Mathematics,468,388,
1187,LM063,Technology Management,410,499,
1188,LM066,Environmental Science,430,499,
1189,LM068,Food Science and Health,464,342,
1190,LM076,Product Design and Technology (portfolio required),401,498,
1191,LM077,Aeronautical Engineering,567,342,
1192,LM082,Construction Management and Engineering,446,,
1193,LM089,Sport and Exercise Sciences,498,403,
1194,LM090,Physical Education with concurrent Teacher Education,552,389,
1195,LM091,Languages with concurrent Teacher Education,506,368,
1196,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),521,381,
1197,LM093,Equine Science,367,332,
1198,LM094,Materials and Architectural Technology with concurrent Teacher Education,475,336,
1199,LM095,Materials and Engineering Technology with concurrent Teacher Education,425,#498,
1200,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),454,498,
1201,LM097,Mathematics and Computer Science with concurrent Teacher Education,465,436,
1202,LM099,Architecture,520,#543,
1203,LM100,Physiotherapy,613,#531,
1204,LM101,Medicine  - Graduate Entry (GAMSAT required),57,511,
1205,LM102,Psychology,534,478,
1206,LM103,Paramedic Studies (Full B/Provisional C1 Drivers Licence),429,232,
1207,LM105,Exercise and Health Fitness Management,441,223,
1208,LM115,Chemical and Biochemical Engineering,476,197,
1209,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),498,223,
1210,LM118,Electronic and Computer Engineering,445,153,
1211,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),402,236,
1212,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),382,223,
1213,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind Bio/Pharma and In,498,241,
1214,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),455,205,
1215,LM125,Physics (Applied Physics or Mathematics and Physics),489,194,
1216,LM150,General Nursing,498,245,
1217,LM152,Mental Health Nursing,478,321,
1218,LM154,Intellectual Disability Nursing,462,410,
1219,LM156,Midwifery,521,226,
1220,LM180,Equine Science,351,180,
1221,MU001,Theology and Arts,294,300,
1222,MU002,Theology,,300,
1223,MH001,Education - Primary Teaching (Froebel),564,301,
1224,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,290,
1225,MH003,Early Childhood - Teaching and Learning (full-time),381,260,
1226,MH101,Arts,338,232,
1227,MH103,Music,#,260,
1228,MH106,Psychology - 3 years,554,262,
1229,MH107,Social Science,390,243,
1230,MH109,Media Studies,324,244,
1231,MH116,Community and Youth Work (Full-Time),#,224,
1232,MH201,Science,401,225,
1233,MH202,Biotechnology,490,370,
1234,MH203,Biological and Geographical Sciences,451,244,
1235,MH204,Physics with Astrophysics,422,223,
1236,MH206,Theoretical Physics and Mathematics,521,180,
1237,MH207,Data Science,444,221,
1238,MH208,Biological and Biomedical Sciences,543,264,
1239,MH209,Psychology (through Science) - 4 years,529,181,
1240,MH210,Pharmaceutical and Biomedical Chemistry,510,241,
1241,MH212,Science|Maths and Computer Science|Mathematics (with Education),452,300,
1242,MH304,Engineering (Computer/Electronic/Communications),351,198,
1243,MH305,Product Design,326,228,
1244,MH306,Robotics and Intelligent Devices,362,232,
1245,MH401,Finance (options),370,350,
1246,MH402,Quantitative Finance,476,292,
1247,MH403,Accounting and Finance,424,290,
1248,MH404,Business (options),441,253,
1249,MH407,Business and Accounting,423,270,
1250,MH411,Entrepreneurship,378,410,
1251,MH501,LLB Law - four year Single Major Law programme,507,234,
1252,MH502,Law (options),465,155,
1253,MH601,Computer Science through Arts (options),381,245,
1254,MH602,Computer Science through Science (options),400,170,
1255,MH603,Computational Thinking,520,242,
1256,MH801,Early Childhood - Teaching and Learning (part-time),AQA,407,
1257,MH802,"Community and Youth Work (part-time, in service)",,390,
1258,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",,270,
1259,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",542,361,
1260,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",464,200,
1261,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",463,225,
1262,AS051,"Nutrition, Food and Business Management",378,220,
1263,AS054,Home Economics,440,211,
1264,AS110,General Nursing,440,204,
1265,AS130,Intellectual Disability Nursing,387,302,
1266,SG101,Business,167,364,
1267,SG102,Computing (Level 6 - General Entry),254,382,
1268,SG131,Computing - Games Development,271,224,
1269,SG134,Applied Sport with Business,200,AQA,
1270,SG135,Business in Tourism with Event Management,194,195,
1271,SG136,Computing - Software Development,279,260,
1272,SG137,Computing in Computer Networks and Cyber Security,262,182,
1273,SG138,Computing (Level 7 - General Entry),299,244,
1274,SG139,Business in Marketing,269,224,
1275,SG141,Business,262,180,
1276,SG145,Business and ICT,279,179,
1277,SG146,Accounting,304,220,
1278,SG147,Sport with Business,288,179,
1279,SG148,Tourism with Event Management,298,189,
1280,SG150,Business in Marketing,298,320,
1281,SG231,Fine Art,375,101,
1282,SG232,Creative Design,270,220,
1283,SG235,Performing Arts (Theatre Design),205,390,
1284,SG236,Performing Arts (Acting),204,481,
1285,SG241,Performing Arts,341,225,
1286,SG242,Early Childhood Care and Education,287,235,
1287,SG243,Social Care Practice,309,317,
1288,SG244,Fine Art,501,243,
1289,SG245,Creative Design,332,271,
1290,SG246,Computing,316,402,
1291,SG247,English and Psychology,319,262,
1292,SG248,Sociology and Politics,298,276,
1293,SG249,Writing and Literature,308,260,
1294,SG252,Software Development,310,235,
1295,SG253,Computing in Computer Networks and Cyber Security,336,270,
1296,SG254,Writing and Literature Online,327,411,
1297,SG255,Law and Business,291,270,
1298,SG300,Engineering (General Entry),202,218,
1299,SG302,Construction Economics,174,285,
1300,SG308,Applied Construction Technology,199,410,
1301,SG330,Engineering (General Entry),262,622,
1302,SG331,Interior Architecture and Design,222,367,
1303,SG332,Advanced Wood and Sustainable Building Technology,217,288,
1304,SG333,Mechanical Engineering,225,313,
1305,SG334,Mechatronic Engineering,290,401,
1306,SG335,"Engineering in Mechatronic Systems (Interview, Work Based)",#,385,
1307,SG336,Precision Engineering and Design,341,349,
1308,SG338,Civil Engineering,226,476,
1309,SG339,Quantity Surveying,216,476,
1310,SG341,General Engineering,373,331,
1311,SG342,Civil Engineering,418,476,
1312,SG343,Quantity Surveying,300,391,
1313,SG344,Mechanical Engineering,412,377,
1314,SG346,Construction Project Management and Applied Technology,313,217,
1315,SG347,Architecture,403,260,
1316,SG348,Interior Architecture and Design,359,308,
1317,SG349,Electronics and Self Driving Technologies,,226,
1318,SG350,Robotics and Automation,384,280,
1319,SG401,Science,282,400,
1320,SG404,Environmental Science with Ecology (Level 6),388,226,
1321,SG406,Health and Exercise Science,396,487,
1322,SG431,Pharmaceutical Science with Drug Development,287,524,
1323,SG433,Occupational Safety and Health,243,510,
1324,SG434,Human Nutrition,299,336,
1325,SG435,Health Science and Physiology,296,578,
1326,SG436,Biomedical Science,260,509,
1327,SG437,Forensic Investigation and Analysis,252,491,
1328,SG439,Environmental Science with Ecology (Level 7),253,250,
1329,SG442,Occupational Safety and Health,307,341,
1330,SG443,Human Nutrition,376,400,
1331,SG444,Science Undenominated,358,377,
1332,SG445,Pharmaceutical Science with Drug Development,357,308,
1333,SG447,Health Science and Physical Activity,326,337,
1334,SG448,Forensic Investigation and Analysis,308,351,
1335,SG449,Medical Biotechnology,315,578,
1336,SG450,Environmental Science with Ecology (Level 8),310,318,
1337,SG530,Health and Medical Information Science (Online),387,397,
1338,SG535,Business Administration,241,270,
1339,SG536,Business,233,271,
1340,TL651,Science - Biological and Environmental Studies,215,463,
1341,TL652,Science - Pharmacy Technician,222,462,
1342,TL701,"Animation, Visual Effects and Motion Design (Level 7, portfolio)",,465,
1343,TL702,"TV, Radio and New Media (Level 7)",222,395,
1344,TL710,Computing with Software Development,297,300,
1345,TL711,Computing with Games Development,238,262,
1346,TL715,Computing (Degree Award options),261,285,
1347,TL716,Computer Systems and Networking,227,444,
1348,TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),232,209,
1349,TL742,Construction Management,,330,
1350,TL744,Agricultural Engineering,220,252,
1351,TL745,Civil Engineering,243,324,
1352,TL747,Mechanical and Automation Engineering,254,252,
1353,TL748,Agricultural Science,233,235,
1354,TL755,Pharmaceutical Science (Degree Award options),228,342,
1355,TL758,Animal Bioscience,234,451,
1356,TL771,Health and Leisure (Degree Award Options),211,228,
1357,TL772,Health and Leisure with Massage,236,270,
1358,TL773,Coaching and Sports Performance,207,212,
1359,TL774,Inclusive Sport and Physical Activity,121,418,
1360,TL780,Early Childhood Care and Education,100,228,
1361,TL781,Social Care,261,307,
1362,TL801,"Animation, Visual Effects and Motion Design (Level 8, portfolio)",718,301,
1363,TL802,"TV, Radio and New Media (Level 8)",322,300,
1364,TL810,Computing with Software Development,308,410,
1365,TL811,Computing with Games Development,322,249,
1366,TL815,Computing (Degree Award options),307,212,
1367,TL823,Event Management (3 year programme),293,278,
1368,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,316,
1369,TL842,Construction Management,,184,
1370,TL844,Agricultural Engineering,301,300,
1371,TL845,Civil Engineering,361,290,
1372,TL847,Manufacturing Engineering,305,356,
1373,TL848,Agricultural Science,307,217,
1374,TL851,Wildlife Biology (Degree Award options),309,608,
1375,TL855,Pharmaceutical Science (Degree Award options),316,379,
1376,TL858,Veterinary Bioscience,317,416,
1377,TL871,Health and Leisure (Degree Award options),303,356,
1378,TL872,Health and Leisure with Massage,314,366,
1379,TL873,Coaching and Sports Performance,308,308,
1380,TL874,Inclusive Sport and Physical Activity,341,290,
1381,TL880,Early Childhood Care and Education,309,281,
1382,TL881,Social Care,301,717,
1383,TL889,Counselling with Addiction - Mature applicants only,,709,
1384,TL890,General Nursing and Mature Applicants,463,632,
1385,TL891,Mental Health Nursing and Mature Applicants,440,695,
1386,WD001,Applied Computing (options),270,280,
1387,WD002,Science (options),279,320,
1388,WD003,Business,AQA,456,
1389,WD005,Health Sciences (options),271,381,
1390,WD006,Exercise Sciences (options),270,322,
1391,WD007,Engineering (options),270,289,
1392,WD010,Electronic Engineering,419,325,
1393,WD011,Mechanical Engineering,170,251,
1394,WD013,Legal Studies,AQA,270,
1395,WD018,Applied Social Care,181,321,
1396,WD019,Recreation and Sport Management,AQA,367,
1397,WD025,Construction Management and Engineering,262,400,
1398,WD027,Music,321,310,
1399,WD048,Business (options),279,260,
1400,WD076,Forestry,216,308,
1401,WD084,Accounting,308,AQA,
1402,WD091,Hospitality Management,225,280,
1403,WD094,Architectural Technology,176,280,
1404,WD096,Horticulture (Waterford - Kildalton),226,288,
1405,WD097,Horticulture (Dublin - National Botanic Gardens),223,181,
1406,WD116,General Nursing,446,198,
1407,WD117,Psychiatric Nursing,415,177,
1408,WD120,Intellectual Disability Nursing,390,171,
1409,WD126,Agriculture,328,174,
1410,WD134,International Business,267,269,
1411,WD137,Design (Visual Communications),252,262,
1412,WD140,Laws,280,271,
1413,WD144,Architecture,309,243,
1414,WD147,Pharmaceutical Science,288,308,
1415,WD150,Criminal Justice Studies,280,228,
1416,WD151,Software Systems Development,165,166,
1417,WD152,Visual Art,243,260,
1418,WD153,Multimedia Applications Development,195,AQA,
1419,WD155,Information Technology,195,422,
1420,WD159,Business,191,366,
1421,WD161,Computer Forensics and Security,270,377,
1422,WD162,Quantity Surveying,226,327,
1423,WD163,Psychology,456,290,
1424,WD164,Food Science with Business,328,271,
1425,WD172,Culinary Arts,AQA,206,
1426,WD173,Hospitality Studies,158,280,
1427,WD174,Tourism,AQA,284,
1428,WD175,Pharmaceutical Science,224,293,
1429,WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",205,271,
1430,WD182,Electrical Engineering,AQA,270,
1431,WD184,Retail Management,190,AQA,
1432,WD186,Sports Coaching and Performance,261,AQA,
1433,WD187,Social Science,276,163,
1434,WD188,Applied Health Care,220,211,
1435,WD191,Agricultural Science,377,195,
1436,WD192,Social Care Practice,271,255,
1437,WD193,Marketing and Digital Media,279,216,
1438,WD194,Culinary Arts,237,434,
1439,WD195,Architectural and Building Information Modelling Technology,279,309,
1440,WD200,Arts (options),201,AQA,
1441,WD205,Molecular Biology with Biopharmaceutical Science,AQA,AQA,
1442,WD206,Electronic Engineering,180,AQA,
1443,WD207,Mechanical Engineering,172,226,
1444,WD208,Manufacturing Engineering,317,222,
1445,WD210,Software Systems Development,260,AQA,
1446,WD211,Creative Computing,270,163,
1447,WD212,Recreation and Sport Management,262,270,
1448,WD230,Mechanical and Manufacturing Engineering,230,272,
1449,WD231,Early Childhood Care and Education,266,201,
1450,WD232,Business Information Systems,261,377,
1451,AL600,Software Design,,270,
1452,AL601,Computer Engineering,,271,
1453,AL602,Mechanical Engineering,,217,
1454,AL604,Civil Engineering,,279,
1455,CI001,Counselling Skills and Psychotherapy Studies,,AQA,
1456,CI002,Counselling Skills and Addiction Studies,,228,
1457,CI005,Counselling Skills and Youth Studies,,179,
1458,CR126,Popular Music: Drums at CIT Cork School of Music,,198,
1459,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,188,
1460,CR128,Popular Music: Keyboards at CIT Cork School of Music,,279,
1461,CR129,Popular Music: Voice at CIT Cork School of Music,,271,
1462,CT110,Computing in Information Technology,,270,
1463,CT116,Information Technology,,253,
1464,DB516,Financial Services,,,
1465,DC201,Common Entry into Science (Undenominated Entry),,,
1466,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,
1467,DK860,Music (audition),,,
1468,DL821,"English, Media and Cultural Studies",,,
1469,DL828,"3D Design, Modelmaking and Digital Art",,,
1470,DL829,Design for Stage and Screen (Costume Design),,,
1471,DL830,Design for Stage and Screen (Character Makeup Design),,,
1472,DL831,Design for Stage and Screen (Production Design),,,
1473,DL834,Film and Television Production,,,
1474,DN252,Dairy Business,,,
1475,DN253,Agri - Environmental Sciences,,,
1476,DN271,Forestry,,,
1477,DN272,"Horticulture, Landscape and Sportsturf Management",,,
1478,DS603,Computing and Multimedia (Level 6 - Certificate),,,
1479,GC305,International Hospitality Management,,,
1480,GC306,International Hospitality Management,,,
1481,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,,
1482,GY112,Arts with Film Studies,,,
1483,GY120,"Arts (Child, Youth and Family: Policy and Practice)",,,
1484,GY121,Arts (Children`s Studies),,,
1485,GY124,Arts (Arts with Data Science),,,
1486,GY126,Arts (English and Media Studies),,,
1487,GY131,Arts (History and Globalisation Studies),,,
1488,LC257,Interior Design,,,
1489,LC401,Early Childhood Education and Care,,,
1490,LC414,Data Analytics and Cyber Security,,,
1491,LC428,Environmental Science and Agriculture,,,
1492,LC432,Early Childhood Education and Care,,,
1493,LC434,Environmental Science and Agriculture,,,
1494,LC603,Early Childhood Education and Care,,,
1495,LC605,Business,,,
1496,LC613,Early Childhood Education and Care,,,
1497,MH405,Equine Business,,,
1498,SG142,Business in International Marketing and Languages (French),,,
1499,SG144,Business in International Marketing and Languages (Spanish),,,
1500,SG250,Application Design and User Experience,,,
1501,SG251,Computing (Smart Technologies),,,
1502,SG537,Marketing and Sales,,,
1503,TL620,Culinary Arts,,,
1504,TL743,Agricultural Mechanisation,,,
1505,TR012,History and Political Science,,,
1506,TR017,Law and Business,,,
1507,TR020,Law and Political Science,,,
1508,TR029,Political Science and Geography,,,
1509,TR082,Computer Science and Business,,,
1510,TR083,Sociology and Social Policy,,,
1511,TR452,History/Sociology,,,
1512,TR755,Sociology/Drama Studies,,,
1513,TU601,Electronic Engineering,,,
1514,TU602,Computer Engineering,,,
1515,TU603,Mechanical Engineering,,,
1516,TU653,Computing (Information Technology),,,
1517,TU671,Business,,,
1518,TU672,Business (Common entry),,,
1519,TU707,Electronic Engineering,,,
1520,TU710,Engineering Reliability Management,,,
1521,TU712,Sustainable Energy and Environmental Engineering,,,
1522,TU715,Engineering Software,,,
1523,TU718,Mechanical Engineering,,,
1524,TU732,Timber Product Technology,,,
1525,TU759,Information Technology Management,,,
1526,TU771,Business,,,
1527,TU774,Management,,,
1528,TU775,Accounting and Finance,,,
1529,TU776,Accounting and Finance,,,
1530,TU777,Business and Information Technology,,,
1531,TU778,International Business,,,
1532,TU779,International Business,,,
1533,TU783,Marketing,,,
1534,TU793,Early Childhood Care and Education,,,
1535,TU794,Early Childhood Care and Education,,,
1536,TU803,Electronic Engineering,,,
1537,TU806,Sustainable Energy Engineering,,,
1538,TU808,Engineering Software,,,
1539,TU809,Mechanical Engineering,,,
1540,TU813,Automation Engineering,,,
1541,TU873,Industrial Mathematics,,,
1542,TU901,Business,,,
1543,TU908,Management,,,
1544,TU909,Accounting and Finance,,,
1545,TU911,Accounting and Finance,,,
1546,TU913,Business and Information Technology,,,
1547,TU915,International Business,,,
1548,TU916,International Business,,,
1549,TU923,Marketing Management,,,
1550,TU966,Languages and English Studies,,,
1551,TU971,Contemporary Visual Culture,,,
1552,TU972,Creative and Cultural Industries,,,
1553,TU986,Print Media Technology and Management,,,
1554,TU993,Early Childhood Care and Education,,,
1555,TU994,Early Childhood Care and Education,,,
1556,WD139,Civil Engineering,,,
1557,WD149,Early Childhood Studies,,,
1558,CR435,Coaching Science and Sports Pedagogy,,,
